Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
Other Expense / Income,-139000000,-95000000,38000000,-44000000,-122000000,-71000000,37000000,-20000000,-12000000,-24000000,129000000,32000000,96000000,42000000,-93000000,50000000,-1000000,77000000,-87000000,-81142000,-42574000,-59569000,-32928000,-28607000,-51896000,-221535000,8898000,5131000,-10428000,16399000,15104000,-13480000,22121000,369000,2790000,759000,-6859000,-4676000,672000,-1707000,-17101000,-830000,2150000,-765000,986000,407000,514000,25000,1445000,-250000,-3280000,6682000,3173000,1063000,525000,1686000,-1988000,
Pretax Income,2774000000,3963000000,3597000000,2464000000,3664000000,2613000000,1841000000,1257000000,507000000,353000000,517000000,125000000,18000000,147000000,169000000,-389000000,-679000000,162000000,328000000,-703832000,-703946000,-684590000,-619661000,-320750000,-304999000,-110267000,30011000,-289539000,-278421000,-315349000,-228074000,-181060000,-151141000,-103910000,-70981000,-60750000,-48991000,-14906000,-37718000,-30201000,11399000,-90079000,-110688000,-105494000,-89814000,-81377000,-64991000,-58764000,-48791000,-51395000,-34852000,-38508000,-29401000,-24013000,-4834000,-10859000,-16008000,
Income Tax,261000000,276000000,305000000,205000000,346000000,292000000,223000000,115000000,69000000,83000000,186000000,21000000,2000000,42000000,26000000,19000000,23000000,22000000,17000000,13707000,5605000,-8640000,-285000,15647000,25278000,11070000,8133000,3649000,3846000,5048000,1784000,3167000,3040000,3719000,3727000,1150000,809000,1358000,778000,301000,151000,-148000,116000,109000,59000,112000,87000,139000,150000,-37000,83000,9000,118000,229000,-219000,8000,8000,
Net Income,2513000000,3687000000,3292000000,2259000000,3318000000,2321000000,1618000000,1142000000,438000000,270000000,331000000,104000000,16000000,105000000,143000000,-408000000,-702000000,140000000,311000000,-717539000,-709551000,-675950000,-619376000,-336397000,-330277000,-121337000,21878000,-293188000,-282267000,-320397000,-229858000,-184227000,-154181000,-107629000,-74708000,-61900000,-49800000,-16264000,-38496000,-30502000,11248000,-89931000,-110804000,-105603000,-89873000,-81489000,-65078000,-58903000,-48941000,-51358000,-34935000,-38517000,-29519000,-24242000,-4615000,-10867000,-16016000,
Net Income Growth,-24.26%,58.85%,103.46%,97.81%,657.53%,759.63%,388.82%,998.08%,2637.50%,157.14%,131.47%,,,-25.00%,-54.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shares Outstanding (Basic),3166000000,3160000000,3146000000,3111000000,3103000000,3043000000,2993000000,2913000000,2883000000,2849000000,2811000000,2784000000,2745000000,2706000000,2691000000,2655000000,2595000000,2586000000,2565000000,2549955000,2537190000,2539635000,2509410000,2478180000,2431935000,2326575000,2234865000,2099745000,1990140000,1966995000,1935090000,1900335000,1889205000,1882575000,1873665000,1863756420,1852091730,1842561270,1827937455,1772904120,1720678485,1707147480,1583342430,1578636780,1571765145,1566541995,1561152450,1466358990,1427810175,760774530,1384060815,114651975,109529100,107054070,105210825,104489370,103862910,99695805
Shares Outstanding (Diluted),3166000000,3160000000,3146000000,3111000000,3103000000,3043000000,2993000000,2913000000,2883000000,2849000000,2811000000,2784000000,2745000000,2706000000,2691000000,2655000000,2595000000,2586000000,2565000000,2549955000,2537190000,2539635000,2509410000,2478180000,2431935000,2326575000,2234865000,2099745000,1990140000,1966995000,1935090000,1900335000,1889205000,1882575000,1873665000,1863756420,1852091730,1842561270,1827937455,1772904120,1863979380,1707147480,1583342430,1578636780,1571765145,1566541995,1561152450,1466358990,1427810175,760774530,1384060815,114651975,109529100,107054070,105210825,104489370,103862910,
Shares Change,2.03%,3.84%,5.11%,6.80%,7.63%,6.81%,6.47%,4.63%,5.03%,5.28%,4.46%,4.86%,5.78%,4.64%,4.91%,4.12%,2.28%,1.83%,2.22%,2.90%,4.33%,9.16%,12.28%,18.02%,22.20%,18.28%,15.49%,10.49%,5.34%,4.48%,3.28%,1.96%,2.00%,2.17%,2.50%,5.12%,-0.64%,7.93%,15.45%,12.31%,18.59%,8.98%,1.42%,7.66%,10.08%,105.91%,12.80%,1178.97%,1203.59%,610.65%,1215.51%,9.73%,5.46%,7.38%,,,,
EPS (Basic),0.80,1.18,1.05,0.73,1.07,0.78,0.54,0.39,0.15,0.10,0.11,0.04,0.01,0.04,0.05,-0.15,-0.27,0.06,0.12,-0.28,-0.28,-0.27,-0.25,-0.14,-0.14,-0.05,0.01,-0.14,-0.14,-0.16,-0.12,-0.10,-0.08,-0.06,-0.04,-0.03,-0.03,-0.01,-0.02,-0.02,0.01,-0.05,-0.07,-0.07,-0.06,-0.05,-0.04,-0.04,-0.03,-0.01,-0.02,-0.34,-0.27,-0.23,-0.04,-0.10,-0.15,
EPS (Diluted),0.73,1.07,0.95,0.65,0.95,0.68,0.48,0.34,0.13,0.08,0.09,0.03,0.01,0.04,0.05,-0.15,-0.27,0.06,0.12,-0.28,-0.28,-0.27,-0.25,-0.14,-0.14,-0.05,0.01,-0.14,-0.14,-0.16,-0.12,-0.10,-0.08,-0.06,-0.04,-0.03,-0.03,-0.01,-0.02,-0.02,0.00,-0.05,-0.07,-0.07,-0.06,-0.05,-0.04,-0.04,-0.03,-0.01,-0.02,-0.34,-0.27,-0.23,-0.04,-0.10,-0.15,
EPS Growth,-23.16%,57.35%,97.92%,91.18%,630.77%,783.12%,433.33%,930.30%,1757.14%,79.07%,69.81%,,,-24.56%,-54.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow Per Share,0.14,0.45,1.05,0.20,0.72,0.91,0.44,0.21,0.10,0.65,0.49,0.14,-0.34,0.36,0.13,0.22,-0.36,0.34,0.32,-0.32,-0.44,-0.16,-0.62,-0.55,-0.35,-0.48,0.08,-0.07,-0.23,-0.22,-0.31,-0.30,-0.29,-0.24,-0.17,-0.09,-0.04,0.02,0.01,-0.04,0.00,-0.06,-0.10,-0.08,-0.07,-0.05,-0.06,-0.05,-0.04,-0.08,-0.08,-0.26,-0.30,-0.33,-0.24,-0.14,-0.16,
Gross Margin,19.34%,23.76%,25.09%,25.00%,29.11%,27.35%,26.60%,24.12%,21.32%,19.23%,23.52%,20.99%,20.62%,18.84%,18.90%,14.50%,12.46%,19.97%,22.33%,15.46%,13.39%,13.36%,15.05%,23.90%,24.77%,19.05%,27.70%,21.64%,22.01%,18.00%,24.71%,22.34%,27.67%,27.36%,29.57%,27.69%,25.00%,25.45%,23.85%,24.80%,17.15%,7.79%,-17.49%,17.87%,33.84%,19.90%,29.87%,31.82%,36.77%,31.20%,29.76%,22.04%,18.51%,9.58%,16.91%,7.80%,-9.80%,
Operating Margin,11.42%,16.04%,17.19%,14.55%,19.21%,14.75%,14.57%,10.97%,5.72%,5.35%,9.22%,5.42%,4.73%,4.86%,4.14%,-2.63%,-11.50%,5.73%,6.10%,-15.53%,-17.51%,-18.19%,-17.94%,-8.64%,-9.55%,-11.67%,3.73%,-18.74%,-21.64%,-21.44%,-19.61%,-17.82%,-10.90%,-7.82%,-4.59%,-3.74%,-7.09%,-2.17%,-7.08%,-2.91%,-0.99%,-29.67%,-216.47%,-398.36%,-294.24%,-205.53%,-111.81%,-100.98%,-96.57%,-142.33%,-121.10%,-110.41%,-124.92%,-123.35%,-9.43%,-30.01%,-79.45%,
Profit Margin,10.77%,15.16%,15.34%,13.34%,17.69%,13.10%,11.76%,9.55%,4.22%,2.51%,3.77%,1.72%,0.27%,1.42%,2.27%,-6.43%,-15.46%,1.94%,4.56%,-17.93%,-20.82%,-20.55%,-20.75%,-12.06%,-12.25%,-5.31%,0.95%,-23.09%,-24.61%,-26.38%,-24.54%,-19.29%,-16.40%,-11.25%,-8.77%,-8.05%,-8.03%,-2.64%,-8.92%,-7.53%,2.00%,-29.36%,-221.15%,-396.21%,-297.92%,-206.96%,-112.85%,-101.26%,-99.82%,-141.54%,-111.82%,-135.60%,-141.84%,-130.44%,-10.14%,-40.33%,-76.68%,
Free Cash Flow Margin,1.89%,5.84%,15.37%,3.67%,11.85%,15.64%,9.61%,5.09%,2.70%,17.27%,15.72%,6.59%,-15.39%,13.22%,5.49%,9.39%,-20.81%,12.19%,12.19%,-20.16%,-33.06%,-12.05%,-51.77%,-48.68%,-31.24%,-49.44%,7.66%,-11.37%,-40.67%,-36.32%,-63.59%,-59.13%,-59.35%,-47.57%,-36.65%,-23.05%,-13.32%,7.24%,5.91%,-18.71%,1.13%,-32.41%,-326.17%,-458.74%,-391.40%,-206.60%,-156.65%,-132.03%,-130.07%,-159.65%,-359.90%,-105.83%,-157.61%,-189.43%,-56.55%,-54.53%,-81.71%,
Effective Tax Rate,9.41%,6.96%,8.48%,8.32%,9.44%,11.17%,12.11%,9.15%,13.61%,23.51%,35.98%,16.80%,11.11%,28.57%,15.38%,,,13.58%,5.18%,,,,,,,,27.10%,,,,,,,,,,,,,,1.32%,,,,,,,,,,,,,,,,,
EBITDA,3849000000,4985000000,4606000000,3430000000,4605000000,3532000000,2728000000,2013000000,1227000000,1217000000,1264000000,862000000,740000000,894000000,884000000,362000000,-53000000,834000000,1005512000,-54995000,-138167000,-68883000,-101928000,176862000,170949000,281776000,357192000,-59939000,-81336000,-133009000,-88400000,-65319000,-47455000,-7231000,23053000,25203000,7160000,28908000,-2776000,12113000,29367000,-77261000,-103088000,-101062000,-85586000,-76530000,-60711000,-54446000,-45274000,-48505000,-31445000,-35561000,-27030000,-22053000,-2868000,-8088000,-13234000,
EBITDA Margin,16.50%,20.50%,21.47%,20.26%,24.55%,19.93%,19.83%,16.83%,11.81%,11.33%,14.41%,14.28%,12.36%,12.11%,14.03%,5.70%,-1.17%,11.54%,14.73%,-1.37%,-4.05%,-2.09%,-3.42%,6.34%,6.34%,12.33%,15.54%,-4.72%,-7.09%,-10.95%,-9.44%,-6.84%,-5.05%,-0.76%,2.71%,3.28%,1.15%,4.70%,-0.64%,2.99%,5.23%,-25.22%,-205.75%,-379.18%,-283.71%,-194.36%,-105.28%,-93.60%,-92.34%,-133.67%,-100.65%,-125.19%,-129.88%,-118.66%,-6.30%,-30.02%,-63.36%,
Depreciation & Amortization,1046000000,989000000,956000000,922000000,880000000,848000000,761000000,681000000,621000000,618000000,584000000,567000000,553000000,577000000,530000000,579000000,468000000,497000000,502512000,485255000,416233000,469603000,400624000,389171000,376602000,326939000,280468000,183232000,156460000,143723000,110366000,91389000,77112000,67976000,64972000,54715000,44268000,37585000,28450000,22198000,17850000,12792000,7522000,4348000,4163000,4804000,4280000,4318000,3517000,2890000,3109000,2483000,2141000,1935000,1948000,1685000,1372000,
EBIT,2803000000,3996000000,3650000000,2508000000,3725000000,2684000000,1967000000,1332000000,606000000,599000000,680000000,295000000,187000000,317000000,354000000,-217000000,-521000000,337000000,503000000,-540250000,-554400000,-538486000,-502552000,-212309000,-205653000,-45163000,76724000,-243171000,-237796000,-276732000,-198766000,-156708000,-124567000,-75207000,-41919000,-29512000,-37108000,-8677000,-31226000,-10085000,11517000,-90053000,-110610000,-105410000,-89749000,-81334000,-64991000,-58764000,-48791000,-51395000,-34554000,-38044000,-29171000,-23988000,-4816000,-9773000,-14606000,
EBIT Margin,12.02%,16.43%,17.01%,14.81%,19.86%,15.15%,14.30%,11.14%,5.83%,5.58%,7.75%,4.89%,3.12%,4.29%,5.62%,-3.42%,-11.47%,4.66%,7.37%,-13.50%,-16.26%,-16.37%,-16.84%,-7.61%,-7.63%,-1.98%,3.34%,-19.15%,-20.73%,-22.79%,-21.22%,-16.41%,-13.25%,-7.86%,-4.92%,-3.84%,-5.98%,-1.41%,-7.24%,-2.49%,2.05%,-29.40%,-220.76%,-395.49%,-297.51%,-206.56%,-112.70%,-101.02%,-99.51%,-141.64%,-110.60%,-133.93%,-140.16%,-129.07%,-10.58%,-36.27%,-69.93%,
