Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30
Pretax Income,2823000000,2579000000,4150000000,2182000000,2911000000,2212000000,2572000000,3807000000,4199000000,3488000000,4932000000,-870000000,651000000,-357000000,2622000000,2942000000,2294000000,1433000000,2634000000,2909000000,1512000000,2745000000,-665000000,2194000000,3395000000,2138000000,3675000000,3743000000,2512000000,3776000000,1524000000,1694000000,1474000000,2266000000,1898000000,24000000,-11000000,1174000000,2559000000,2156000000,1584000000,-34451000000,2190000000,2087000000,1531000000,432000000,2214000000,2931000000,3503000000,1233000000,2137000000,1897000000,1577000000,-4300000000,-997000000
Income Tax,428000000,580000000,845000000,490000000,-28000000,471000000,152000000,971000000,1177000000,642000000,887000000,-112000000,357000000,-163000000,271000000,524000000,137000000,-611000000,100000000,519000000,466000000,7896000000,2316000000,534000000,787000000,303000000,902000000,877000000,559000000,-2490000000,165000000,577000000,529000000,279000000,427000000,-254000000,-224000000,134000000,842000000,742000000,409000000,-35645000000,357000000,241000000,216000000,-293000000,107000000,-61000000,137000000,-173000000,-25000000,361000000,509000000,-861000000,-139000000
Preferred Dividends,26000000,15000000,27000000,26000000,952000000,45000000,45000000,46000000,46000000,45000000,40000000,48000000,47000000,38000000,38000000,37000000,38000000,38000000,31000000,15000000,14000000,14000000,2000000,0,0,0,0,0,0,0,0,0,0,882000000,87000000,88000000,88000000,127000000,1019000000,214000000,310000000,302000000,357000000,359000000,311000000,253000000,381000000,468000000,215000000,896000000,203000000,202000000,203000000,81000000,50000000
Net Income,2395000000,1999000000,3305000000,1692000000,2939000000,1741000000,2420000000,2836000000,3022000000,2846000000,4045000000,-758000000,294000000,-194000000,2351000000,2418000000,2157000000,2044000000,2534000000,2390000000,1046000000,-5151000000,-2981000000,1660000000,2608000000,1835000000,2773000000,2866000000,1953000000,6266000000,1359000000,1117000000,945000000,1987000000,1471000000,278000000,213000000,1040000000,1717000000,1414000000,1175000000,1194000000,1833000000,1846000000,1315000000,725000000,2107000000,2992000000,3366000000,1406000000,2162000000,1536000000,1068000000,-3439000000,-858000000
Net Income Common,2369000000,1984000000,3278000000,1666000000,1987000000,1696000000,2375000000,2790000000,2976000000,2801000000,4005000000,-806000000,247000000,-232000000,2313000000,2381000000,2119000000,2006000000,2503000000,2375000000,1032000000,-5165000000,-2983000000,1660000000,2608000000,1835000000,2773000000,2866000000,1953000000,6266000000,1359000000,1117000000,945000000,1105000000,1384000000,190000000,125000000,913000000,698000000,1200000000,865000000,892000000,1476000000,1487000000,1004000000,472000000,1726000000,2524000000,3151000000,510000000,1959000000,1334000000,865000000,-3520000000,-908000000
Net Income Growth,19.22%,16.98%,38.02%,-40.29%,-33.23%,-39.45%,-40.70%,,1104.86%,,73.15%,,-88.34%,,-7.59%,0.25%,105.33%,,,43.07%,-60.43%,,,-42.08%,33.54%,-70.71%,104.05%,156.58%,106.67%,467.06%,-1.81%,487.89%,656.00%,21.03%,98.28%,-84.17%,-85.55%,2.35%,-52.71%,-19.30%,-13.84%,88.98%,-14.48%,-41.09%,-68.14%,-7.45%,-11.89%,89.21%,264.28%,,,,,,
Shares Outstanding (Basic),1396000000,1415000000,1448000000,1458000000,1458000000,1454000000,1452000000,1451000000,1447000000,1436000000,1432000000,1432000000,1433000000,1430000000,1428000000,1420000000,1417000000,1414000000,1412000000,1410000000,1408000000,1411000000,1445000000,1497000000,1505000000,1516000000,1550000000,1548000000,1546000000,1553000000,1577000000,1596000000,1617000000,1611000000,1612000000,1608000000,1587000000,1438000000,1386000000,1376000000,1372000000,1554000000,1570000000,1569000000,1572000000,1572000000,1562000000,1505000000,1504000000,1500000000,1500000000,1500000000,1500000000,1238000000,1238000000
Shares Outstanding (Diluted),1402000000,1424000000,1457000000,1465000000,1470000000,1471000000,1467000000,1468000000,1464000000,1451000000,1439000000,1432000000,1440000000,1439000000,1442000000,1438000000,1436000000,1431000000,1431000000,1431000000,1430000000,1447000000,1472000000,1519000000,1532000000,1546000000,1574000000,1581000000,1580000000,1595000000,1618000000,1660000000,1686000000,1678000000,1691000000,1688000000,1691000000,1688000000,1681000000,1677000000,1507000000,1675000000,1663000000,1671000000,1692000000,1668000000,1682000000,1654000000,1817000000,1732000000,1630000000,1567000000,1567000000,1238000000,1238000000
Shares Change,-4.63%,-3.20%,-0.68%,-0.20%,0.41%,1.38%,1.95%,2.51%,1.67%,0.83%,-0.21%,-0.42%,0.28%,0.56%,0.77%,0.49%,0.42%,-1.11%,-2.79%,-5.79%,-6.66%,-6.40%,-6.48%,-3.92%,-3.04%,-3.07%,-2.72%,-4.76%,-6.29%,-4.95%,-4.32%,-1.66%,-0.30%,-0.59%,0.59%,0.66%,12.21%,0.78%,1.08%,0.36%,-10.93%,0.42%,-1.13%,1.03%,-6.88%,-3.70%,3.19%,5.55%,15.95%,39.90%,31.66%,,,,
EPS (Basic),1.70,1.41,2.26,1.14,1.36,1.17,1.64,1.92,2.06,1.95,2.80,-0.56,0.17,-0.17,1.62,1.68,1.50,1.42,1.77,1.68,0.73,-3.52,-2.06,1.11,1.73,1.22,1.79,1.85,1.26,3.97,0.86,0.70,0.58,0.69,0.86,0.12,0.08,0.64,0.50,0.87,0.63,0.57,0.94,0.95,0.64,0.27,1.10,1.68,2.09,0.34,1.31,0.89,0.58,-2.85,-0.73
EPS (Diluted),1.69,1.40,2.25,1.14,1.35,1.15,1.62,1.90,2.03,1.93,2.78,-0.56,0.17,-0.17,1.60,1.66,1.48,1.40,1.75,1.66,0.72,-3.45,-2.03,1.09,1.70,1.19,1.76,1.81,1.24,3.84,0.84,0.67,0.56,0.66,0.81,0.11,0.06,0.56,0.45,0.75,0.58,0.54,0.89,0.90,0.60,0.28,1.03,1.54,1.77,0.27,1.20,0.85,0.55,-2.85,-0.73
EPS Growth,25.19%,21.74%,38.89%,-40.00%,-33.50%,-40.41%,-41.73%,,1094.12%,,73.75%,,-88.51%,,-8.57%,0.00%,105.56%,,,52.29%,-57.65%,,,-39.78%,37.10%,-69.01%,109.52%,170.15%,121.43%,481.82%,3.70%,509.09%,833.33%,17.86%,80.00%,-85.33%,-89.66%,3.70%,-49.44%,-16.67%,-3.33%,92.86%,-13.59%,-41.56%,-66.10%,3.70%,-14.17%,81.18%,221.82%,,,,,,
Free Cash Flow Per Share,0.55,1.85,2.58,1.07,0.81,3.15,-1.05,3.59,-0.56,2.38,7.14,-2.65,-0.21,0.10,3.09,1.80,-1.96,2.06,0.23,0.94,-2.80,1.73,-1.58,-0.30,-2.22,-1.35,0.26,-0.03,-4.54,-1.81,-1.82,0.01,-2.09,-0.19,-1.12,0.70,-0.18,0.57,0.98,1.74,-1.14,-0.95,0.78,1.01,0.13,-0.60,0.19,2.52,-1.34,-1.53,0.91,1.89,0.67,-2.32,1.68
Dividend Per Share,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.36,0.36,0.36,0.30,0.30,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividend Growth,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.56%,5.56%,5.56%,26.67%,20.00%,20.00%,20.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,12.82%,13.93%,14.01%,12.33%,13.06%,11.90%,14.16%,14.65%,15.64%,13.05%,17.06%,0.57%,8.03%,5.61%,12.16%,12.73%,9.58%,8.61%,11.72%,10.05%,8.04%,12.30%,11.54%,12.91%,13.25%,8.63%,14.27%,14.66%,12.85%,17.45%,13.59%,11.17%,10.84%,11.06%,10.57%,7.24%,6.43%,10.56%,13.32%,11.97%,10.60%,-7.60%,12.06%,12.41%,12.19%,12.09%,13.00%,13.70%,12.00%,10.06%,13.13%,13.76%,12.46%,-1.35%,6.33%
Operating Margin,6.45%,6.05%,8.10%,5.92%,6.10%,4.53%,6.14%,8.44%,10.09%,7.38%,12.47%,-7.24%,2.01%,-1.80%,6.50%,6.90%,3.57%,2.16%,4.50%,4.02%,1.47%,5.85%,4.69%,6.21%,6.93%,1.19%,8.09%,7.95%,5.29%,10.87%,2.57%,3.37%,2.11%,3.30%,3.13%,-1.19%,-1.43%,0.41%,5.79%,4.48%,2.60%,-88.49%,4.27%,4.84%,2.64%,1.18%,4.92%,6.23%,2.62%,0.76%,5.09%,5.74%,3.79%,-11.94%,-3.99%
Profit Margin,5.92%,4.60%,7.83%,4.66%,5.52%,5.05%,8.87%,8.17%,9.16%,7.47%,11.29%,-4.80%,0.76%,-0.75%,6.52%,6.60%,6.08%,5.22%,6.99%,6.46%,2.86%,-13.69%,-8.87%,4.49%,7.00%,4.60%,7.13%,7.67%,5.24%,27.26%,3.50%,2.93%,2.65%,2.79%,3.53%,0.48%,0.33%,2.26%,1.79%,3.07%,2.35%,2.27%,3.93%,3.95%,2.66%,1.24%,4.70%,6.41%,8.71%,1.38%,5.75%,4.02%,2.75%,-10.89%,-3.61%
Free Cash Flow Margin,1.91%,6.06%,8.91%,4.36%,3.29%,13.66%,-5.68%,15.25%,-2.48%,9.11%,28.82%,-22.64%,-0.94%,0.44%,12.45%,7.09%,-7.98%,7.59%,0.91%,3.60%,-10.92%,6.46%,-6.80%,-1.22%,-8.95%,-5.13%,1.02%,-0.12%,-18.85%,-12.25%,-7.38%,0.03%,-9.45%,-0.77%,-4.62%,2.83%,-0.75%,2.04%,3.50%,6.14%,-4.23%,-3.75%,3.27%,4.21%,0.55%,-2.50%,0.81%,9.65%,-5.58%,-6.22%,4.00%,8.54%,3.21%,-8.90%,8.26%
Effective Tax Rate,15.16%,22.49%,20.36%,22.46%,-0.96%,21.29%,5.91%,25.51%,28.03%,18.41%,17.98%,,54.84%,,10.34%,17.81%,5.97%,-42.64%,3.80%,17.84%,30.82%,287.65%,,24.34%,23.18%,14.17%,24.54%,23.43%,22.25%,-65.94%,10.83%,34.06%,35.89%,12.31%,22.50%,-1058.33%,,11.41%,32.90%,34.42%,25.82%,,16.30%,11.55%,14.11%,-67.82%,4.83%,-2.08%,3.91%,-14.03%,-1.17%,19.03%,32.28%,,
EBITDA,5869000000,5617000000,7182000000,5272000000,6028000000,5376000000,5883000000,7068000000,7464000000,6843000000,8421000000,2698000000,4152000000,3129000000,6137000000,6544000000,6591000000,5264000000,6108000000,6197000000,5243000000,6067000000,2633000000,5520000000,6285000000,4982000000,6354000000,6186000000,4931000000,5448000000,3617000000,3972000000,3341000000,9608000000,1994000000,124000000,92000000,9332000000,2624000000,2217000000,1675000000,4444000000,2318000000,2205000000,1641000000,7994000000,2315000000,3086000000,3652000000,8411000000,2400000000,2147000000,1914000000,540000000,-632000000
EBITDA Margin,14.68%,13.03%,17.15%,14.74%,16.75%,16.01%,21.97%,20.69%,22.98%,18.24%,23.73%,16.08%,12.69%,10.15%,17.30%,18.15%,18.90%,13.71%,17.07%,16.86%,14.52%,16.09%,7.83%,14.93%,16.87%,12.49%,16.34%,16.55%,13.23%,23.70%,9.31%,10.40%,9.36%,24.25%,5.08%,0.31%,0.25%,23.05%,6.73%,5.67%,4.54%,11.31%,6.17%,5.86%,4.35%,21.04%,6.30%,7.84%,10.09%,22.81%,7.05%,6.47%,6.08%,1.67%,-2.51%
Depreciation & Amortization,2812000000,2770000000,2773000000,2856000000,2891000000,2937000000,3081000000,3018000000,3015000000,3080000000,3162000000,3265000000,3308000000,3286000000,3309000000,3407000000,4116000000,3646000000,3313000000,3129000000,3581000000,3177000000,3147000000,3194000000,2743000000,2694000000,2534000000,2299000000,2292000000,1579000000,1981000000,2170000000,1757000000,7238000000,0,0,0,8041000000,0,0,0,38762000000,0,0,0,7427000000,0,0,0,6930000000,0,0,0,4511000000,0
EBIT,3057000000,2847000000,4409000000,2416000000,3137000000,2439000000,2802000000,4050000000,4449000000,3763000000,5259000000,-567000000,844000000,-157000000,2828000000,3137000000,2475000000,1618000000,2795000000,3068000000,1662000000,2890000000,-514000000,2326000000,3542000000,2288000000,3820000000,3887000000,2639000000,3869000000,1636000000,1802000000,1584000000,2370000000,1994000000,124000000,92000000,1291000000,2624000000,2217000000,1675000000,-34318000000,2318000000,2205000000,1641000000,567000000,2315000000,3086000000,3652000000,1481000000,2400000000,2147000000,1914000000,-3971000000,-632000000
EBIT Margin,7.65%,6.60%,10.53%,6.76%,8.72%,7.26%,10.46%,11.85%,13.70%,10.03%,14.82%,-3.38%,2.58%,-0.51%,7.97%,8.70%,7.10%,4.21%,7.81%,8.35%,4.60%,7.66%,-1.53%,6.29%,9.50%,5.73%,9.82%,10.40%,7.08%,16.83%,4.21%,4.72%,4.44%,5.98%,5.08%,0.31%,0.25%,3.19%,6.73%,5.67%,4.54%,-87.31%,6.17%,5.86%,4.35%,1.49%,6.30%,7.84%,10.09%,4.02%,7.05%,6.47%,6.08%,-12.28%,-2.51%
