Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30
Dividends Paid,-185000000,-127000000,-189000000,-8000000,-73000000,-16000000,-76000000,-18000000,-76000000,-16000000,-61000000,-2000000,-590000000,-558000000,-608000000,-558000000,-626000000,-552000000,-586000000,-538000000,-566000000,-532000000,-556000000,-572000000,-573000000,-586000000,-594000000,-600000000,-588000000,-564000000,-592000000,-598000000,-488000000,-1384000000,-588000000,-622000000,-571000000,-168000000,-1045000000,-256000000,-218000000,-260000000,-220000000,-242000000,-217000000,-267000000,-214000000,-214000000,-221000000,-964000000,-203000000,-202000000,-203000000,-97000000,0
Share Issuance / Repurchase,-369000000,-1000000000,-1500000000,0,0,0,0,0,0,-90000000,0,0,0,0,0,0,0,0,0,0,0,-1498000000,-1498000000,-1496000000,0,-999000000,-1201000000,0,-300000000,-632000000,-889000000,-1699000000,-300000000,-3109000000,-168000000,0,0,0,-2438000000,0,0,-5098000000,0,0,0,0,0,0,0,3395000000,0,0,0,0,0
Debt Issued / Paid,-807000000,968000000,3265000000,1767000000,580000000,626000000,-1505000000,-906000000,2191000000,-8711000000,-9947000000,262000000,24537000000,-1690000000,-1663000000,-1117000000,1939000000,2576000000,4127000000,339000000,4622000000,1815000000,3253000000,7608000000,5779000000,6012000000,4182000000,3411000000,7422000000,5037000000,5101000000,4735000000,3144000000,6854000000,2154000000,1929000000,1303000000,583000000,4983000000,32000000,2408000000,-1030000000,1397000000,854000000,191000000,543000000,-358000000,-34000000,546000000,-4087000000,45000000,-5845000000,-1535000000,-2868000000,3410000000
Other Financing Activities,-324000000,-157000000,-115000000,-669000000,-2359000000,-78000000,-44000000,144000000,1502000000,210000000,451000000,-224000000,-267000000,-84000000,138000000,386000000,-236000000,818000000,416000000,1085000000,-287000000,120000000,940000000,-47000000,-159000000,505000000,-269000000,789000000,-107000000,1423000000,-30000000,-43000000,3000000,-46000000,-56000000,-7000000,-14000000,-3000000,-34000000,-90000000,-23000000,-76000000,-20000000,-18000000,-2000000,22000000,-4000000,-39000000,-118000000,-165000000,,-6000000,,-59000000,-41000000
Financing Cash Flow,-1685000000,-316000000,1461000000,1090000000,-1852000000,532000000,-1625000000,-780000000,3617000000,-8607000000,-9557000000,36000000,23680000000,-2332000000,-2133000000,-1289000000,1077000000,2842000000,3957000000,886000000,3769000000,-95000000,2139000000,5493000000,5047000000,4932000000,2118000000,3600000000,6427000000,5264000000,3590000000,2395000000,2359000000,2315000000,1342000000,1300000000,718000000,412000000,1466000000,-314000000,2167000000,-6464000000,1157000000,594000000,-28000000,298000000,-576000000,-287000000,207000000,-1821000000,-158000000,-6053000000,-1738000000,-3024000000,3369000000
Net Cash Flow,-807000000,-1551000000,3784000000,-263000000,-3564000000,1891000000,-5714000000,2489000000,1759000000,-6739000000,-2784000000,-8526000000,18223000000,44000000,2718000000,-600000000,-2715000000,2638000000,3087000000,224000000,-301000000,1968000000,-3665000000,3999000000,386000000,-2959000000,-2975000000,3931000000,-169000000,-336000000,-2194000000,1851000000,-3178000000,1108000000,-1804000000,438000000,-595000000,-334000000,658000000,-946000000,2221000000,-4898000000,1136000000,4806000000,1307000000,-4533000000,-393000000,-311000000,52000000,-1814000000,0,-631000000,631000000,-6356000000,6356000000
Free Cash Flow,765000000,2614000000,3731000000,1560000000,1185000000,4586000000,-1522000000,5212000000,-806000000,3418000000,10225000000,-3799000000,-308000000,136000000,4417000000,2557000000,-2783000000,2916000000,324000000,1324000000,-3941000000,2435000000,-2286000000,-450000000,-3337000000,-2045000000,396000000,-46000000,-7023000000,-2816000000,-2865000000,12000000,-3376000000,-304000000,-1812000000,1123000000,-280000000,827000000,1364000000,2399000000,-1562000000,-1473000000,1227000000,1583000000,209000000,-948000000,296000000,3798000000,-2019000000,-2294000000,1363000000,2834000000,1010000000,-2876000000,2078000000
Free Cash Flow Growth,-35.44%,-43.00%,,-70.07%,,34.17%,,,,2413.24%,131.49%,,,-95.34%,1263.27%,93.13%,,19.75%,,,,,,,,,,,,,,-98.93%,,,,-53.19%,,,11.17%,51.55%,,,314.53%,-58.32%,,,-78.28%,34.02%,,,-34.41%,,,,
Free Cash Flow Margin,1.91%,6.06%,8.91%,4.36%,3.29%,13.66%,-5.68%,15.25%,-2.48%,9.11%,28.82%,-22.64%,-0.94%,0.44%,12.45%,7.09%,-7.98%,7.59%,0.91%,3.60%,-10.92%,6.46%,-6.80%,-1.22%,-8.95%,-5.13%,1.02%,-0.12%,-18.85%,-12.25%,-7.38%,0.03%,-9.45%,-0.77%,-4.62%,2.83%,-0.75%,2.04%,3.50%,6.14%,-4.23%,-3.75%,3.27%,4.21%,0.55%,-2.50%,0.81%,9.65%,-5.58%,-6.22%,4.00%,8.54%,3.21%,-8.90%,8.26%
Free Cash Flow Per Share,0.55,1.85,2.58,1.07,0.81,3.15,-1.05,3.59,-0.56,2.38,7.14,-2.65,-0.21,0.10,3.09,1.80,-1.96,2.06,0.23,0.94,-2.80,1.73,-1.58,-0.30,-2.22,-1.35,0.26,-0.03,-4.54,-1.81,-1.82,0.01,-2.09,-0.19,-1.12,0.70,-0.18,0.57,0.98,1.74,-1.14,-0.95,0.78,1.01,0.13,-0.60,0.19,2.52,-1.34,-1.53,0.91,1.89,0.67,-2.32,1.68
